name,reference product,CPC,interventionpaper
market for floating collar cage,floating collar cage,"3845: Fishing rods and other line fishing tackle; fish landing nets, butterfly nets and similar nets; decoy ""birds"" a[…]",other products
apple production,apple,01341: Apples,agricultural biomass
metazachlor production,metazachlor,"34663: Herbicides, anti-sprouting products and plant-growth regulators",chemicals and plastics
ethanol production from sugar beet,sugar beet pulp,23319: Preparations used in animal feeding n.e.c.,agricultural biomass
market for glucose,glucose,23210: Glucose and glucose syrup; fructose and fructose syrup; lactose and lactose syrup; invert sugar; sugars and su[…],agricultural biomass
"treatment of sewage sludge, 75% water, WWT, WW from pig iron production, sanitary landfill","electricity, medium voltage",17100: Electrical energy,electricity production
"market for grass, Swiss integrated production","grass, Swiss integrated production","01919: Forage products, n.e.c.",agricultural biomass
market for peat moss,peat moss,11050: Peat,fossil fuel extraction
"natural gas, high pressure, import from NO","natural gas, high pressure","12020: Natural gas, liquefied or in the gaseous state",fossil fuel extraction
"electricity, high voltage, import from MA","electricity, high voltage",17100: Electrical energy,electricity production
"market group for electricity, medium voltage","electricity, medium voltage",17100: Electrical energy,electricity production
"concrete production, 25MPa, for building construction, for interior use, with cement ZN/D, with 50% RC-C aggregates","concrete, 25MPa",37510: Non-refractory mortars and concretes,other products
"chlor-alkali electrolysis, membrane cell",sulfuric acid,"34231: Chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphonitric; inorganic oxygen compoun[…]",chemicals and plastics
"cover plaster production, mineral","cover plaster, mineral",37410: Plasters,other products
"market for aluminium, primary, ingot","aluminium, primary, ingot",41431: Unwrought aluminium,mining and basic metals
"market for nitric acid, without water, in 50% solution state","nitric acid, without water, in 50% solution state","34233: Nitric acid, sulphonitric acids",chemicals and plastics
miscanthus production,"miscanthus, chopped","01990: Other raw vegetable materials, n.e.c.",agricultural biomass
"soybean production, organic","soybean, organic","01412: Soya beans, other",agricultural biomass
"treatment of sewage sludge, 97% water, WWT, rainwater mineral oil storage, landfarming","organic phosphorus fertiliser, as P2O5",34659: Fertilizers n.e.c.,chemicals and plastics
"titanium production, triple-melt","titanium, triple-melt","41601: Tungsten, molybdenum, tantalum, magnesium, cobalt, cadmium, titanium, zirconium, beryllium, gallium, hafnium, […]",mining and basic metals
"electricity production, solar thermal parabolic trough, 50 MW","electricity, high voltage",17100: Electrical energy,electricity production
market for lead concentrate,lead concentrate,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates),mining and basic metals
"market for sawnwood, softwood, dried (u=10%), planed","sawnwood, softwood, dried (u=10%), planed","31101: Wood, sawn or chipped lengthwise, sliced or peeled, of a thickness exceeding 6 mm, of coniferous wood ",forest biomass
market for ammonium chloride,ammonium chloride,34653: Ammonium chloride; nitrites,chemicals and plastics
"electricity production, nuclear, pressure water reactor, heavy water moderated","electricity, high voltage",17100: Electrical energy,electricity production
antimony production,antimony,"41603: Bismuth, antimony, manganese, chromium and articles thereof; including waste and scrap of bismuth or manganese",mining and basic metals
"natural gas, burned in gas turbine","natural gas, burned in gas turbine",17100: Electrical energy,electricity production
"market for operation, computer, laptop, 68% active work with internet access 0.2 Mbit/s","operation, computer, laptop, 68% active work with internet access 0.2 Mbit/s",85: Support services,other services
"market for aluminium, wrought alloy","aluminium, wrought alloy",88602: Basic precious and other non-ferrous metal manufacturing services,other services
"natural gas, liquefied, import from NG","natural gas, liquefied","12020: Natural gas, liquefied or in the gaseous state",fossil fuel extraction
residual material landfill construction,residual material landfill,53290: Other civil engineering works,construction
"clear-cutting, primary forest to arable land, perennial crop","land tenure, arable land, measured as carbon net primary productivity, perennial crop","91131: Public administrative services related to agriculture, forestry, fishing and hunting",other services
"impact extrusion of steel, hot, 5 strokes","impact extrusion of steel, hot, 5 strokes","89330: Metal forging, pressing, stamping, roll forming and powder metallurgy services",other services
"dust collector production, multicyclone","dust collector, multicyclone",4393: General-purpose machinery n.e.c.,machinery and equipment
"electricity, high voltage, import from IR","electricity, high voltage",17100: Electrical energy,electricity production
"market for land use change, pasture, man made","land use change, pasture, man made",83222: Rural land planning services,other services
"bamboo forestry, sustainable forest management",bamboo culm,"31450: Plywood, veneer panels and similar laminated wood of bamboo",forest biomass
weaned calves production on pasture,"weaned calves, live weight",02111: Cattle,agricultural biomass
"market for power supply unit, for desktop computer","power supply unit, for desktop computer",46113: Electric generating sets and rotary converters,machinery and equipment
"cooling energy production, at -25 °C, ammonia compression refrigeration system 1 MW","cooling energy, at -25 °C","69220: Distribution of steam, hot water and air-conditioning supply through mains (on own account)",distribution
market for trimethylamine,trimethylamine,"34150: Amine-function compounds; oxygen-function amino-compounds, except lysine and its esters and salts thereof and […]",chemicals and plastics
ground granulated blast furnace slag to generic market for supplementary cementitious materials,supplementary cementitious materials,"15200: Gypsum; anhydrite; limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of[…]",minerals
"market for excavation, hydraulic digger","excavation, hydraulic digger",54330: Excavating and earthmoving services,construction
"paper production, woodfree, uncoated, at integrated mill","paper, woodfree, uncoated",32113: Mechanical wood pulp; semi-chemical wood pulp; pulps of fibrous cellulosic material other than wood,pulp and paper
"planing, beam, hardwood, u=20%","sawnwood, beam, hardwood, dried (u=20%), planed","31102: Wood, sawn or chipped lengthwise, sliced or peeled, of a thickness exceeding 6 mm, of non-coniferous wood ",forest biomass
"anaerobic digestion plant construction, for biowaste","anaerobic digestion plant, for biowaste",53290: Other civil engineering works,construction
market for 1-naphthylacetic acid,1-naphthylacetic acid,"34140: Carboxylic acids and their anhydrides, halides, peroxides and peroxyacids and their halogenated, sulphonated, […]",chemicals and plastics
"land already in use, forest, intensive to perennial crop","land tenure, arable land, measured as carbon net primary productivity, perennial crop","91131: Public administrative services related to agriculture, forestry, fishing and hunting",other services
