name,reference product,CPC,interventionpaper
market for ammonium nitrate phosphate,ammonium nitrate phosphate,34644: Fertilizers containing two nutrients: nitrogen and phosphorus,chemicals and plastics
"market for maintenance, tram","maintenance, tram",87149: Maintenance and repair services of other transport equipment,other services
market for glass fibre,glass fibre,"3712: Glass fibres and articles thereof, except woven fabrics",other products
"barley seed production, organic, for sowing","barley seed, organic, for sowing","01151: Barley, seed",agricultural biomass
"electricity, high voltage, import from LU","electricity, high voltage",17100: Electrical energy,electricity production
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014","electricity, high voltage",17100: Electrical energy,electricity production
"heat transport fluid system construction, solar thermal parabolic trough, 50 MW","heat transport fluid system, solar thermal parabolic trough, 50 MW",54262: General construction services of power plants,construction
market for nitrobenzene,nitrobenzene,"34110: Hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivatives",chemicals and plastics
"orange production, fresh grade","orange, fresh grade",01323: Oranges,agricultural biomass
"treatment of sewage sludge, 97% water, WWT-SLF, waste gypsum, landfarming","organic nitrogen fertiliser, as N",34659: Fertilizers n.e.c.,chemicals and plastics
"impact extrusion of aluminium, deformation stroke","impact extrusion of aluminium, deformation stroke","89330: Metal forging, pressing, stamping, roll forming and powder metallurgy services",other services
"electricity production, hydro, run-of-river","electricity, high voltage",17100: Electrical energy,electricity production
market for ethylene glycol monoethyl ether,ethylene glycol monoethyl ether,"34170: Ethers, alcohol peroxides, ether peroxides, epoxides, acetals and hemiacetals, and their halogenated, sulphona[…]",chemicals and plastics
"platinum group metal, extraction and refinery operations","copper, cathode","41413: Refined copper and copper alloys, unwrought; master alloys of copper",mining and basic metals
market for chlorodifluoromethane,chlorodifluoromethane,"34110: Hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivatives",chemicals and plastics
"coffee green bean production, robusta","coffee, green bean","01610: Coffee, green",agricultural biomass
orbencarb production,orbencarb,"34663: Herbicides, anti-sprouting products and plant-growth regulators",chemicals and plastics
"fuel cell production, solid oxide, with micro gas turbine, 180kW electrical, future","fuel cell, solid oxide, with micro gas turbine, 180kW electrical, future",46410: Primary cells and primary batteries,machinery and equipment
drying of protein pea,drying of protein pea,86111: Post-harvest crop services,agricultural biomass
"natural gas, high pressure, import from NG","natural gas, high pressure","12020: Natural gas, liquefied or in the gaseous state",fossil fuel extraction
"market for heat and power co-generation unit, 500kW electrical, components for heat only","heat and power co-generation unit, 500kW electrical, components for heat only",53262: Power plants,construction
benzaldehyde-2-sulfonic acid production,benzaldehyde-2-sulfonic acid,"34170: Ethers, alcohol peroxides, ether peroxides, epoxides, acetals and hemiacetals, and their halogenated, sulphona[…]",chemicals and plastics
"tractor production, 4-wheel, agricultural","tractor, 4-wheel, agricultural",4414: Agricultural tractors,machinery and equipment
"land use change, forest, intensive","land use change, forest, intensive",83222: Rural land planning services,other services
"market for impact extrusion of steel, hot, 5 strokes","impact extrusion of steel, hot, 5 strokes","89330: Metal forging, pressing, stamping, roll forming and powder metallurgy services",other services
"market for electricity, high voltage","electricity, high voltage",17100: Electrical energy,electricity production
"market for electricity, medium voltage, aluminium industry","electricity, medium voltage, aluminium industry",17100: Electrical energy,electricity production
market for hard coal briquettes factory,hard coal briquettes factory,53269: Other constructions for manufacturing,construction
"market for ammonia, anhydrous, liquid","ammonia, anhydrous, liquid","34651: Ammonia, anhydrous",chemicals and plastics
"natural gas, high pressure, import from HU","natural gas, high pressure","12020: Natural gas, liquefied or in the gaseous state",fossil fuel extraction
"treatment of sewage sludge, 75% water, WWT, WW from medium density board production, sanitary landfill","electricity, medium voltage",17100: Electrical energy,electricity production
"nuclear power plant construction, pressure water reactor, 1000MW","nuclear power plant, pressure water reactor, 1000MW",53262: Power plants,construction
"nitrotoluenes production, toluene nitration",p-nitrotoluene,"34150: Amine-function compounds; oxygen-function amino-compounds, except lysine and its esters and salts thereof and […]",chemicals and plastics
